DOCUMENTATION CLASSIFICATION REPORT
generated_at: 2026-03-09 17:45:01

columns: path | type | category | priority | reason
- docs/CHAKANA_CARD_SYSTEM_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_COMBAT_SYSTEM_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_ENEMY_SYSTEM_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_ENGINE_EXTRACTION_PLAN.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_GAMEPLAY_SYSTEM_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_MASTER_GAME_BIBLE_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_META_ENGINE_DESIGN_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/CHAKANA_RELIC_SYSTEM_1_0.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/PURPLE_WIZARD_CONTENT_BOUNDARY.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/design/game_design_document.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/vision/carta_sagrada_diseno.md | md | ACTIVE_DOC | P1 | core design/engine source of truth
- docs/DEV_WORKFLOW.md | md | ACTIVE_DOC | P2 | developer workflow support
- docs/README.md | md | ACTIVE_DOC | P2 | developer workflow support
- docs/dev/buenas_practicas.md | md | ACTIVE_DOC | P2 | developer workflow support
- qa_report_build_0_9_102.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- qa_report_build_0_9_103.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- qa_report_build_0_9_104.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- qa_report_build_0_9_105.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- qa_report_build_0_9_106.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- qa_report_build_0_9_106a.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- qa_report_build_0_9_98.txt | txt | ACTIVE_QA | P1 | versioned qa output (latest relevant)
- tools/check_card_coherence.py | py | ACTIVE_QA | P2 | qa/check script
- tools/check_combat_content_lock.py | py | ACTIVE_QA | P2 | qa/check script
- tools/check_deck_system.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase1_gameplay_blockers.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase2_pack_shop_integration.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase3_hologram_dialogue.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase3b_event_system.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase4_asset_pipeline_audit.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase5_visual_audio_upgrade.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase6_combat_hud.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase7_extended.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_phase9_supervision.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_pre_engine_audit.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_visual_runtime_fullhd.py | py | ACTIVE_QA | P2 | qa/check script
- tools/qa_visual_system_normalization.py | py | ACTIVE_QA | P2 | qa/check script
- tools/clean_autogen.py | py | ACTIVE_TOOL | P1 | daily workflow/qa command
- tools/doctor.py | py | ACTIVE_TOOL | P1 | daily workflow/qa command
- tools/qa_report_generator.py | py | ACTIVE_TOOL | P1 | daily workflow/qa command
- tools/regen_assets.py | py | ACTIVE_TOOL | P1 | daily workflow/qa command
- tools/reset_autogen.ps1 | ps1 | ACTIVE_TOOL | P1 | daily workflow/qa command
