strike: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
defend: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
violet_bolt: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
prismatic_shield: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
arcane_pulse: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
lesser_seal: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
subtle_drain: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
vision: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
phase_shift: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
fragment: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
exchange: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
cauterize_rupture: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
short_portal: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
violet_ring: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
rite_transmutation: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
astral_cut: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
void_limit: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
reflection: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
silence: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
amethyst_crown: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
rewrite: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
final_gate: pixel art mystical andean gothic purple mage sigils, dramatic light, chakana symbol
